,日期,单品编码,批发价格(元/千克)
0,2020-07-01,102900005115762,3.88
1,2020-07-01,102900005115779,6.72
2,2020-07-01,102900005115786,3.19
3,2020-07-01,102900005115793,9.24
4,2020-07-01,102900005115823,7.03
5,2020-07-01,102900005115908,4.6
6,2020-07-01,102900005115946,4.2
7,2020-07-01,102900005115960,2.1
8,2020-07-01,102900005115984,3.44
9,2020-07-01,102900005116226,4.64
10,2020-07-01,102900005116233,5.76
11,2020-07-01,102900005116257,6.56
12,2020-07-01,102900005116509,1.63
13,2020-07-01,102900005116530,10.8
14,2020-07-01,102900005116547,4.06
15,2020-07-01,102900005116714,9.23
16,2020-07-01,102900005116790,3.97
17,2020-07-01,102900005116912,8.16
18,2020-07-01,102900005116943,7.83
19,2020-07-01,102900005117056,4.32
20,2020-07-01,102900005117209,7.58
21,2020-07-01,102900005118817,8.47
22,2020-07-01,102900005118824,5.65
23,2020-07-01,102900005118831,4.13
24,2020-07-01,102900005119944,10.29
25,2020-07-01,102900005119975,3.6
26,2020-07-01,102900005123880,7.5
27,2020-07-01,102900005125808,12.1
28,2020-07-01,102900005125815,6.16
29,2020-07-01,102900011001219,8.24
30,2020-07-01,102900011006948,11.69
31,2020-07-01,102900011008522,4.44
32,2020-07-01,102900011009970,6.03
33,2020-07-01,102900051000944,29.43
34,2020-07-01,102900051004294,6.81
35,2020-07-01,102900051010455,4.63
36,2020-07-02,102900005115762,3.93
37,2020-07-02,102900005115779,4.23
38,2020-07-02,102900005115786,3.18
39,2020-07-02,102900005115793,9.19
40,2020-07-02,102900005115823,7.03
41,2020-07-02,102900005115908,4.52
42,2020-07-02,102900005115946,4.23
43,2020-07-02,102900005115960,2.1
44,2020-07-02,102900005115984,3.58
45,2020-07-02,102900005116226,4.57
46,2020-07-02,102900005116233,5.71
47,2020-07-02,102900005116257,3.72
48,2020-07-02,102900005116509,1.46
49,2020-07-02,102900005116530,10.8
50,2020-07-02,102900005116547,4.05
51,2020-07-02,102900005116714,8.9
52,2020-07-02,102900005116790,3.97
53,2020-07-02,102900005116912,8.05
54,2020-07-02,102900005116943,7.27
55,2020-07-02,102900005117056,4.48
56,2020-07-02,102900005117209,7.33
57,2020-07-02,102900005118817,7.88
58,2020-07-02,102900005118824,5.76
59,2020-07-02,102900005118831,4.11
60,2020-07-02,102900005119944,10.13
61,2020-07-02,102900005119975,3.6
62,2020-07-02,102900005123880,6.46
63,2020-07-02,102900005125808,12.13
64,2020-07-02,102900005125815,6.15
65,2020-07-02,102900011000328,7.1
66,2020-07-02,102900011001219,8.24
67,2020-07-02,102900011006689,6.83
68,2020-07-02,102900011006948,11.75
69,2020-07-02,102900011008522,4.44
70,2020-07-02,102900011009970,5.52
71,2020-07-02,102900051000944,29.54
72,2020-07-02,102900051004294,6.85
73,2020-07-02,102900051010455,4.76
74,2020-07-03,102900005115762,3.57
75,2020-07-03,102900005115779,4.61
76,2020-07-03,102900005115786,3.79
77,2020-07-03,102900005115793,9.2
78,2020-07-03,102900005115823,6.76
79,2020-07-03,102900005115908,3.89
80,2020-07-03,102900005115946,4.3
81,2020-07-03,102900005115960,2.11
82,2020-07-03,102900005115984,3.75
83,2020-07-03,102900005116226,4.42
84,2020-07-03,102900005116233,5.7
85,2020-07-03,102900005116257,6.56
86,2020-07-03,102900005116509,1.48
87,2020-07-03,102900005116530,10.8
88,2020-07-03,102900005116547,4.05
89,2020-07-03,102900005116714,8.97
90,2020-07-03,102900005116790,3.98
91,2020-07-03,102900005116912,7.9
92,2020-07-03,102900005116943,6.75
93,2020-07-03,102900005117056,5.31
94,2020-07-03,102900005117209,6.21
95,2020-07-03,102900005118824,5.61
96,2020-07-03,102900005118831,4.05
97,2020-07-03,102900005119944,10.05
98,2020-07-03,102900005119975,3.6
99,2020-07-03,102900005123880,6.23
100,2020-07-03,102900005125808,12.2
101,2020-07-03,102900005125815,6.32
102,2020-07-03,102900011000328,6.58
103,2020-07-03,102900011001219,7.0
104,2020-07-03,102900011006689,6.88
105,2020-07-03,102900011006948,11.75
106,2020-07-03,102900011008522,4.47
107,2020-07-03,102900011009970,4.81
108,2020-07-03,102900051004294,8.07
109,2020-07-03,102900051010455,4.74
110,2020-07-04,102900005115779,5.77
111,2020-07-04,102900005115786,3.46
112,2020-07-04,102900005115793,9.16
